idCountry,country
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Anguilla
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgian Congo
20,Belgium
21,Belize
22,Benin
23,Bermuda
24,Bhutan
25,Bohemia
26,Bohemia and Moravia
27,Bolivia
28,Bosnia and Herzegovina
29,Botswana
30,Brazil
31,British Guyana
32,British Virgin Islands
33,Brunei
34,Bulgaria
35,Burkina Faso
36,Burma
37,Burundi
38,Cambodia
39,Cameroon
40,Canada
41,Cape Verde
42,Cayman Islands
43,Central African Republic
44,Ceylon
45,Chad
46,Chile
47,China PR
48,Chinese Taipei
49,Colombia
50,Comoros
51,Congo
52,Cook Islands
53,Costa Rica
54,Croatia
55,Cuba
56,Curaçao
57,Cyprus
58,Czech Republic
59,Czechoslovakia
60,Dahomey
61,Denmark
62,Djibouti
63,Dominica
64,Dominican Republic
65,DR Congo
66,East Timor
67,Ecuador
68,Egypt
69,Éire
70,El Salvador
71,England
72,Equatorial Guinea
73,Eritrea
74,Estonia
75,Eswatini
76,Ethiopia
77,Faroe Islands
78,Fiji
79,Finland
80,France
81,French Guiana
82,French Polynesia
83,French Somaliland
84,Gabon
85,Gambia
86,Georgia
87,German DR
88,Germany
89,Ghana
90,Gibraltar
91,Gold Coast
92,Greece
93,Greenland
94,Grenada
95,Guadeloupe
96,Guam
97,Guatemala
98,Guernsey
99,Guinea
100,Guinea-Bissau
101,Guyana
102,Haiti
103,Honduras
104,Hong Kong
105,Hungary
106,Iceland
107,India
108,Indonesia
109,Iran
110,Iraq
111,Irish Free State
112,Isle of Man
113,Israel
114,Italy
115,Ivory Coast
116,Jamaica
117,Japan
118,Jersey
119,Jordan
120,Kazakhstan
121,Kenya
122,Kosovo
123,Kuwait
124,Kyrgyzstan
125,Laos
126,Latvia
127,Lautoka
128,Lebanon
129,Lesotho
130,Liberia
131,Libya
132,Liechtenstein
133,Lithuania
134,Luxembourg
135,Macau
136,Madagascar
137,Malawi
138,Malaya
139,Malaysia
140,Maldives
141,Mali
142,Mali Federation
143,Malta
144,Manchuria
145,Martinique
146,Mauritania
147,Mauritius
148,Mayotte
149,Mexico
150,Micronesia
151,Moldova
152,Monaco
153,Mongolia
154,Montenegro
155,Montserrat
156,Morocco
157,Mozambique
158,Myanmar
159,Namibia
160,Nepal
161,Netherlands
162,Netherlands Antilles
163,Netherlands Guyana
164,New Caledonia
165,New Hebrides
166,New Zealand
167,Nicaragua
168,Niger
169,Nigeria
170,North Korea
171,North Macedonia
172,Northern Cyprus
173,Northern Ireland
174,Northern Mariana Islands
175,Northern Rhodesia
176,Norway
177,Nyasaland
178,Oman
179,Pakistan
180,Palau
181,Palestine
182,Panama
183,Papua New Guinea
184,Paraguay
185,Peru
186,Philippines
187,Poland
188,Portugal
189,Portuguese Guinea
190,Puerto Rico
191,Qatar
192,Republic of Ireland
193,Réunion
194,Rhodesia
195,Romania
196,Russia
197,Rwanda
198,Saarland
199,Saint Kitts and Nevis
200,Saint Lucia
201,Saint Martin
202,Saint Vincent and the Grenadines
203,Samoa
204,San Marino
205,São Tomé and Príncipe
206,Saudi Arabia
207,Scotland
208,Senegal
209,Serbia
210,Serbia and Montenegro
211,Seychelles
212,Sierra Leone
213,Singapore
214,Sint Maarten
215,Slovakia
216,Slovenia
217,Solomon Islands
218,Somalia
219,South Africa
220,South Korea
221,South Sudan
222,Southern Rhodesia
223,Soviet Union
224,Spain
225,Sri Lanka
226,Sudan
227,Suriname
228,Sweden
229,Switzerland
230,Syria
231,Tahiti
232,Tajikistan
233,Tanganyika
234,Tanzania
235,Thailand
236,Togo
237,Tonga
238,Trinidad and Tobago
239,Tunisia
240,Turkey
241,Turkmenistan
242,Turks and Caicos Islands
243,Uganda
244,Ukraine
245,United Arab Emirates
246,United Arab Republic
247,United States
248,United States Virgin Islands
249,Upper Volta
250,Uruguay
251,Uzbekistan
252,Vanuatu
253,Venezuela
254,Vietnam
255,Vietnam DR
256,Vietnam Republic
257,Wales
258,Western Samoa
259,Yemen
260,Yemen AR
261,Yemen DPR
262,Yugoslavia
263,Zaïre
264,Zambia
265,Zanzibar
266,Zimbabwe
